period,PCe,PCa,OCe,OCa,CRFCe,CRFCa,SFe,SFa,CAPEXe,CAPEXa,IGRe,IGRa,SAe,SAa,VATe,VATa,ORe,ORa,CRe,CRa,TRRe,TRRa,TRe,TRa,TREe,TREa,TEe,TEa
1999,1995954522.43 ,3067966700.07 ,435345963.03 ,435672162.51 ,1154193505.93 ,203429270.12 ,12000000.00 ,0.00 ,5326352962.26 ,3249403694.75 ,1957795589.00 ,1060039510.68 ,529272710.95 ,758033069.34 ,2057721279.63 ,3172675215.65 ,0.00 ,0.00 ,4379057374.07 ,1807170016.62 ,4544789579.58 ,4990747795.67 ,8923846953.65 ,6797917812.29 ,3597493991.39 ,3707068132.70 ,8923846953.65 ,6956471827.45 
2000,4051546810.00 ,5900385593.95 ,714911000.00 ,638817053.36 ,747101500.00 ,1008171921.31 ,0.00 ,0.00 ,4546056200.00 ,3177297402.24 ,1790892800.00 ,1193229943.24 ,700000000.00 ,882464316.60 ,5900000000.00 ,9175443228.87 ,0.00 ,0.00 ,1668722710.00 ,36856935.00 ,8390892800.00 ,11251137488.71 ,10059615510.00 ,11287994423.71 ,5513559310.00 ,7547374568.62 ,10059615510.00 ,10724671970.86 
2001,9107903000.00 ,7489799498.91 ,1112659000.00 ,1022489003.82 ,1843867000.00 ,1751550224.22 ,0.00 ,0.00 ,8274886000.00 ,4146378357.04 ,4408557000.00 ,1437614784.70 ,1000000000.00 ,1372765280.82 ,11930758000.00 ,8479071474.67 ,0.00 ,0.00 ,3000000000.00 ,35653526.00 ,17339315000.00 ,11289451540.19 ,20339315000.00 ,11325105066.19 ,12064429000.00 ,10263838726.95 ,20339315000.00 ,14410217083.99 
2002,10082924300.00 ,7649773168.30 ,1708126250.00 ,858880051.36 ,1768954000.00 ,4547900527.36 ,0.00 ,0.00 ,12992554000.00 ,5171330701.54 ,5552576550.00 ,1782484916.00 ,1500000000.00 ,1694345160.59 ,15500000000.00 ,9922153519.29 ,0.00 ,0.00 ,4000000000.00 ,3210663000.04 ,22552576550.00 ,13398983595.88 ,26552576550.00 ,16609646595.92 ,13560004550.00 ,13056553747.02 ,26552558550.00 ,18227884448.56 
2003,11414094362.00 ,9385933388.59 ,2103164052.00 ,1240091265.64 ,2499258471.00 ,1433111754.50 ,0.00 ,0.00 ,12559875000.00 ,3043300533.66 ,3500000000.00 ,2405289482.84 ,2000000000.00 ,1976492719.58 ,16000000000.00 ,12891378791.31 ,0.00 ,0.00 ,7076391885.00 ,9825133.36 ,21500000000.00 ,17273160993.73 ,28576391885.00 ,17282986127.09 ,16016516885.00 ,12059136408.73 ,28576391885.00 ,15102436942.39 
2004,11276304700.00 ,9224873963.39 ,2423885200.00 ,3271556123.30 ,5364893200.00 ,2015669322.73 ,0.00 ,0.00 ,15445030400.00 ,8258246825.97 ,7558849000.00 ,2838271210.83 ,17000000000.00 ,2355258875.00 ,3000000000.00 ,18296227452.11 ,2750000000.00 ,0.00 ,4201264500.00 ,156280588.85 ,30308849000.00 ,23489757537.94 ,34510113500.00 ,23646038126.79 ,19065083100.00 ,14512099409.42 ,34510113500.00 ,22770346235.39 
2005,11316605112.00 ,9754342199.61 ,3302971970.00 ,2396409309.70 ,5648200000.00 ,4570370421.47 ,0.00 ,0.00 ,19676640000.00 ,12879921109.85 ,7300000000.00 ,3687802746.30 ,20000000000.00 ,2657982252.47 ,4500000000.00 ,19708522420.12 ,2900000000.00 ,0.00 ,5244417082.00 ,2866769014.75 ,34700000000.00 ,26054307418.89 ,39944417082.00 ,28921076433.64 ,20267777082.00 ,16721121930.78 ,39944417082.00 ,29601043040.63 
2006,13114152851.37 ,11907341153.02 ,4191637313.13 ,3550506541.87 ,8653520000.00 ,5347947925.78 ,0.00 ,0.00 ,34838745621.10 ,15991449851.86 ,8518000000.00 ,4723582148.77 ,33748055785.60 ,3137405699.20 ,4500000000.00 ,22929058874.94 ,7032000000.00 ,0.00 ,7000000000.00 ,1020031527.41 ,53798055785.60 ,30790046722.91 ,60798055785.60 ,31810078250.32 ,25959310164.50 ,20805795620.67 ,60798055785.60 ,36797245472.53 
2007,14518500000.00 ,15244808426.85 ,4253650000.00 ,4343605266.30 ,9694480000.00 ,8839675240.98 ,0.00 ,0.00 ,26533370000.00 ,21477233637.19 ,10765200000.00 ,5728146536.73 ,27500000000.00 ,23806418323.03 ,4500000000.00 ,4147695915.10 ,4136000000.00 ,0.00 ,8098800000.00 ,5963407933.21 ,46901200000.00 ,33682260774.86 ,55000000000.00 ,39645668708.07 ,28466630000.00 ,28428088934.13 ,55000000000.00 ,49905322571.32 
2008,17878790362.00 ,17387510431.84 ,7967548000.00 ,5882504304.33 ,14176315000.00 ,12688716041.96 ,0.00 ,0.00 ,52624696177.10 ,28640628123.04 ,27028349539.10 ,11598126853.05 ,35500000000.00 ,29419402172.87 ,4500000000.00 ,5580917883.93 ,4850000000.00 ,27574728196.63 ,20769000000.00 ,4980236547.82 ,71878349539.10 ,74173175106.48 ,92647349539.10 ,79153411654.30 ,40022653362.00 ,35958730778.13 ,92647349539.10 ,64599358901.17 
2009,23393206433.00 ,18128006500.25 ,12223465000.00 ,7191416494.03 ,15403031188.00 ,11915626993.46 ,0.00 ,0.00 ,77389649772.00 ,22143257833.75 ,31601935000.00 ,11837405691.80 ,42000000000.00 ,21574964748.75 ,5000000000.00 ,6485309344.81 ,3000000000.00 ,13690959714.03 ,46807417393.00 ,591797315.20 ,81601935000.00 ,53588639499.39 ,128409352393.00 ,54180436814.59 ,51019702621.00 ,37235049987.74 ,128409352393.00 ,59378307821.49 
2010,25107420000.00 ,20133313409.12 ,11862200000.00 ,7639000172.74 ,17348711188.00 ,11626626931.57 ,0.00 ,0.00 ,84532506000.00 ,30739120324.61 ,29900604000.00 ,11524578585.74 ,43000000000.00 ,29182852800.00 ,10100000000.00 ,7641016926.07 ,23950000000.00 ,10186651685.75 ,31900233188.00 ,3781611924.60 ,106950604000.00 ,58535099997.56 ,138850837188.00 ,62316711922.16 ,54318331188.00 ,39398940513.43 ,138850837188.00 ,70138060838.04 
2011,32449204000.00 ,31772972158.97 ,11797050000.00 ,7849149219.35 ,21381000000.00 ,11713358609.11 ,0.00 ,0.00 ,78484031500.00 ,19779016681.53 ,28536577800.00 ,14311322454.97 ,40180000000.00 ,8649340820.82 ,15000000000.00 ,8649340820.82 ,26000000000.00 ,0.00 ,34394707700.00 ,418747252.06 ,109716577800.00 ,31610004096.61 ,144111285500.00 ,32028751348.67 ,65627254000.00 ,51335479987.43 ,144111285500.00 ,71114496668.96 
2012,41055827225.00 ,35811433281.95 ,18160670000.00 ,12374892550.26 ,18288000000.00 ,21395555945.87 ,0.00 ,0.00 ,95029440000.00 ,25616426250.78 ,34133937225.00 ,15292587917.72 ,50400000000.00 ,9321540610.38 ,10000000000.00 ,55977573066.73 ,10000000000.00 ,0.00 ,68000000000.00 ,1175097211.29 ,104533937225.00 ,80591701594.83 ,172533937225.00 ,81766798806.12 ,77504497225.00 ,69581881778.08 ,172533937225.00 ,95198308028.86 
2013,42682858000.00 ,35234119284.14 ,19757917347.00 ,13497186151.90 ,22577608000.00 ,21404327025.89 ,0.00 ,0.00 ,74606877653.00 ,31283441291.92 ,33135161000.00 ,14956763374.79 ,12500000000.00 ,10389673141.52 ,50400000000.00 ,59079082515.88 ,15000000000.00 ,0.00 ,48590100000.00 ,19467745023.46 ,111035161000.00 ,84425519032.19 ,159625261000.00 ,103893264055.65 ,85018383347.00 ,70135632461.93 ,159625261000.00 ,101419073753.85 
2014,50235198000.00 ,38426513952.81 ,20484966300.00 ,7522841522.60 ,27240000000.00 ,15963712984.72 ,0.00 ,0.00 ,110416470852.00 ,4975217588.22 ,48850000000.00 ,16541144724.99 ,11000000000.00 ,10395783915.91 ,50400000000.00 ,43632607241.44 ,19626635152.00 ,0.00 ,78500000000.00 ,13964420049.63 ,129876635152.00 ,70569535882.34 ,208376635152.00 ,84533955931.97 ,97960164300.00 ,61913068460.13 ,208376635152.00 ,66888286048.35 
2015,47414304000.00 ,33071161804.40 ,16609946700.00 ,5248618351.86 ,24030000000.00 ,14288206582.83 ,0.00 ,0.00 ,55054410000.00 ,5623660217.24 ,37755415500.00 ,15462772992.33 ,36216000000.00 ,31676577609.40 ,13000000000.00 ,11052564439.10 ,10299344368.00 ,4521925784.94 ,45837900832.00 ,5623660217.24 ,97270759868.00 ,62713840825.77 ,143108660700.00 ,68337501043.01 ,88054250700.00 ,52607986739.09 ,143108660700.00 ,58231646956.33 
2016,44847604723.00 ,28684675130.13 ,13177994460.00 ,8828274340.18 ,42286000000.00 ,27439594764.98 ,0.00 ,0.00 ,73117805161.00 ,8461162161.66 ,72742830000.00 ,18585241988.80 ,30000000000.00 ,23681987526.69 ,9000000000.00 ,12190524592.26 ,2000000000.00 ,14759507923.50 ,59686574444.00 ,8809502836.12 ,113742830000.00 ,69217262031.25 ,173429404444.00 ,78026764867.37 ,100311599183.00 ,64952544235.29 ,173429404344.00 ,73413706396.95 
2017,56073772798.21 ,37586595427.22 ,20713247264.60 ,14743317329.30 ,50787699770.00 ,36442198299.12 ,0.00 ,0.00 ,81079392021.19 ,29740110995.42 ,107484295300.00 ,22445205865.70 ,30000000000.00 ,31802438121.01 ,14000000000.00 ,16179327220.46 ,32478200000.00 ,33225427200.19 ,24691616554.00 ,29740110995.42 ,183962495300.00 ,103652398407.36 ,208654111854.00 ,133392509402.78 ,127574719832.81 ,88772111055.64 ,208654111854.00 ,118512222051.06 
2018,43102535491.71 ,46344822490.15 ,25399721592.22 ,19026330258.57 ,53287488595.76 ,36442198299.12 ,0.00 ,0.00 ,149941996580.61 ,36131934334.70 ,125476805414.40 ,30583151869.43 ,45000000000.00 ,48554814047.32 ,16000000000.00 ,15788353539.12 ,40212799314.60 ,36920841609.95 ,45042137531.30 ,10555816580.70 ,226689604729.00 ,131847161065.82 ,271731742260.30 ,142402977646.52 ,121789745679.69 ,101813351047.84 ,271731742260.30 ,137945285382.54 
2019,42296196041.34 ,41512172149.29 ,22740886905.48 ,13774635787.30 ,33731951255.21 ,25036148015.37 ,0.00 ,0.00 ,83620400203.49 ,35298187144.15 ,53552172234.83 ,26584813573.70 ,55000000000.00 ,39240380453.39 ,20599234411.52 ,18905659352.93 ,16000000000.00 ,5186887873.23 ,37238027759.17 ,14917820454.90 ,145151406646.35 ,89917741253.25 ,182389434405.52 ,104835561708.15 ,98769034202.03 ,80322955951.96 ,182389434405.52 ,115621143096.11 
2020,54678196033.00 ,51484137984.83 ,17968918682.00 ,14213881532.99 ,36257984916.46 ,35919718981.94 ,0.00 ,0.00 ,65182353610.00 ,31278902357.10 ,33621623761.05 ,30534173283.66 ,29631071762.00 ,38017645385.67 ,27640511000.46 ,23241086522.59 ,4893185598.00 ,11330291056.41 ,30805002042.00 ,4403696147.99 ,68145881121.05 ,103123196248.33 ,98950883163.05 ,107526892396.32 ,108905099631.46 ,101617738499.76 ,174087453241.46 ,132896640856.86 
